Path Length  Path Cost  Bin_Heap Runtime  Fib_Heap Runtime
2                 110                 110706000                0
2                 200                 79783000                0
1                 90                 59837000                0
1                 90                 59840000                0
2                 260                 61065000                0
2                 350                 58612000                0
3                 230                 56847000                0
3                 320                 56849000                0
2                 180                 63828000                0
0                 0                 61836000                0
0                 0                 80139000                0
2                 180                 102674000                0
